title,Author,audio_url,Admiration,Amusement,Anger,Compassion,Contempt,Disappointment,Disgust,Fear,Guilt,Hate,Interest,Joy,Pleasure,Answer.Love,Contentment,Answer.Pride,Answer.Regret,Answer.Relief,Answer.Sadness,Answer.Shame,Approve,Reject
An Epiphany,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/bcb7ee415d5931de67fe748f1a3a604f338925d0.mp3,1,3,3,1,6,0,8,7,7,5,5,1,1,0,0,1,7,1,4,7,,
An Epiphany,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/bcb7ee415d5931de67fe748f1a3a604f338925d0.mp3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,,
The Giant Slide,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/10c942fa53849d313e3b7e138d46bd8e9402464d.mp3,7,10,0,8,0,6,0,0,0,0,0,9,6,5,5,7,0,8,0,0,,
The Giant Slide,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/10c942fa53849d313e3b7e138d46bd8e9402464d.mp3,3,6,3,7,7,7,5,6,3,2,7,5,3,7,6,5,5,5,4,6,,
The Giant Slide,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/10c942fa53849d313e3b7e138d46bd8e9402464d.mp3,1,8,3,4,8,3,8,7,1,5,2,8,2,1,1,2,7,1,7,5,,
Prodigy,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/a63104f867e28edf02ac65be8e3cea8d9f4d8dd7.mp3,9,8,2,9,0,9,1,1,2,2,0,8,9,9,9,9,1,9,1,1,,
Prodigy,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/a63104f867e28edf02ac65be8e3cea8d9f4d8dd7.mp3,2,5,7,3,8,4,6,5,4,5,5,6,3,1,4,1,4,1,7,6,,
Prodigy,Charles Simic,https://media.poetryfoundation.org/uploads/media/default/0001/06/a63104f867e28edf02ac65be8e3cea8d9f4d8dd7.mp3,6,4,6,2,2,2,6,6,8,6,4,8,8,4,6,6,8,2,6,4,,
Subway Seethe,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/06/541c0cf0ffeb145ca4b74b4b8f280976333b3b3c.mp3,2,6,2,6,6,6,8,4,5,5,6,5,5,6,4,8,5,3,4,6,,
Subway Seethe,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/06/541c0cf0ffeb145ca4b74b4b8f280976333b3b3c.mp3,8,7,0,3,0,5,0,0,0,0,0,8,6,9,7,5,1,7,1,0,,
Subway Seethe,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/06/541c0cf0ffeb145ca4b74b4b8f280976333b3b3c.mp3,4,3,5,1,7,1,3,6,3,2,2,8,8,2,8,9,4,2,1,4,,
Dedication for a Plot of Ground,William Carlos Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/0b7200338371e919d215b1999242fe74bc2918ee.mp3,4,8,4,2,6,6,4,8,6,6,2,6,6,2,8,4,6,6,2,8,,
Dedication for a Plot of Ground,William Carlos Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/0b7200338371e919d215b1999242fe74bc2918ee.mp3,0,0,3,7,9,0,9,7,7,8,7,7,0,0,0,0,7,6,6,8,,
Dedication for a Plot of Ground,William Carlos Williams,https://media.poetryfoundation.org/uploads/media/default/0001/06/0b7200338371e919d215b1999242fe74bc2918ee.mp3,8,2,3,9,0,1,6,0,0,1,0,7,1,3,1,1,1,2,7,0,,
I Dreamed That in a City Dark as Paris,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/a7a816872bdc3da1bc1e896dfe2a790f2c5aaa4a.mp3,5,7,5,2,4,4,5,7,7,6,3,8,10,3,10,8,7,4,4,6,,
I Dreamed That in a City Dark as Paris,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/a7a816872bdc3da1bc1e896dfe2a790f2c5aaa4a.mp3,2,7,8,0,8,5,7,6,6,8,6,6,0,0,0,0,7,2,7,5,,
I Dreamed That in a City Dark as Paris,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/a7a816872bdc3da1bc1e896dfe2a790f2c5aaa4a.mp3,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,2,0,0,0,,
Shell,Harriet Brown,https://media.poetryfoundation.org/uploads/media/default/0001/06/4c22acda1a3ed73ad0c6ae476abd6f9e983c1a00.mp3,3,9,0,5,0,4,0,0,0,0,0,9,5,2,5,6,0,5,1,0,,
Shell,Harriet Brown,https://media.poetryfoundation.org/uploads/media/default/0001/06/4c22acda1a3ed73ad0c6ae476abd6f9e983c1a00.mp3,1,8,6,1,8,5,7,7,7,7,4,5,2,1,2,2,6,2,5,6,,
Shell,Harriet Brown,https://media.poetryfoundation.org/uploads/media/default/0001/06/4c22acda1a3ed73ad0c6ae476abd6f9e983c1a00.mp3,5,4,5,4,4,4,7,5,6,7,6,2,9,6,5,6,3,4,5,4,,
Riptide,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd65803531be42d27883e22ba36f1ab64985a582.mp3,6,2,0,1,0,6,0,0,0,0,1,1,6,6,6,2,0,2,0,1,,
Riptide,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd65803531be42d27883e22ba36f1ab64985a582.mp3,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,1,0,,
Riptide,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd65803531be42d27883e22ba36f1ab64985a582.mp3,4,7,4,7,4,4,4,5,3,5,2,7,3,2,5,4,7,6,6,7,,
In the Basement of the Goodwill Store,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/b54a36b66e99a2bb1433bf68c17b5bc39dacb4b7.mp3,8,2,2,3,2,1,2,2,1,1,1,3,2,9,5,4,1,6,2,1,,
In the Basement of the Goodwill Store,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/b54a36b66e99a2bb1433bf68c17b5bc39dacb4b7.mp3,4,5,6,1,5,2,5,8,6,3,4,4,3,3,4,3,1,3,2,1,,
In the Basement of the Goodwill Store,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/b54a36b66e99a2bb1433bf68c17b5bc39dacb4b7.mp3,2,7,2,1,1,8,9,8,7,7,2,7,2,1,1,2,6,2,8,7,,
As from a Quiver of Arrows,Carl Phillips,https://media.poetryfoundation.org/uploads/media/default/0001/07/ecbc291ae653dc74690e65fb87d2916256175f87.mp3,5,5,5,6,7,7,7,4,3,4,6,4,3,6,4,7,4,4,5,5,,
As from a Quiver of Arrows,Carl Phillips,https://media.poetryfoundation.org/uploads/media/default/0001/07/ecbc291ae653dc74690e65fb87d2916256175f87.mp3,3,6,0,4,0,6,0,0,0,1,0,6,5,4,7,6,0,2,5,0,,
As from a Quiver of Arrows,Carl Phillips,https://media.poetryfoundation.org/uploads/media/default/0001/07/ecbc291ae653dc74690e65fb87d2916256175f87.mp3,0,9,0,0,1,0,8,1,8,7,1,8,1,0,2,2,8,0,10,3,,
The Lake,Sophie Cabot Black,https://media.poetryfoundation.org/uploads/media/default/0001/05/4cd424eb2d65204d6d0d6cb585a3a2282c16003d.mp3,2,8,2,7,8,4,8,4,3,1,3,7,2,1,2,1,6,2,6,5,,
The Lake,Sophie Cabot Black,https://media.poetryfoundation.org/uploads/media/default/0001/05/4cd424eb2d65204d6d0d6cb585a3a2282c16003d.mp3,4,2,4,3,3,3,3,1,1,3,3,1,1,3,1,3,1,2,4,2,,
The Lake,Sophie Cabot Black,https://media.poetryfoundation.org/uploads/media/default/0001/05/4cd424eb2d65204d6d0d6cb585a3a2282c16003d.mp3,6,8,2,6,2,1,2,1,2,1,2,6,7,2,5,7,2,9,1,1,,
The Murder of William Remington,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/fa49e94156efe386eb43c937612129d40f5c8e09.mp3,0,0,0,5,1,0,0,1,1,0,0,5,0,0,0,0,1,0,5,0,,
The Murder of William Remington,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/fa49e94156efe386eb43c937612129d40f5c8e09.mp3,0,0,10,0,6,0,10,10,8,9,6,0,0,0,0,0,10,0,10,10,,
The Murder of William Remington,Howard Nemerov,https://media.poetryfoundation.org/uploads/media/default/0001/06/fa49e94156efe386eb43c937612129d40f5c8e09.mp3,1,3,5,3,4,2,4,1,3,4,6,2,3,3,1,4,2,1,3,3,,
Heart’s Needle,W. D. Snodgrass,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89706d28ae5feb06b0dc6ced890935c9cb5bd01.mp3,5,10,3,8,3,8,9,4,5,8,4,7,3,3,4,4,8,6,9,4,,
Heart’s Needle,W. D. Snodgrass,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89706d28ae5feb06b0dc6ced890935c9cb5bd01.mp3,8,7,2,3,1,7,7,1,5,5,2,5,5,6,7,2,3,3,2,5,,
Heart’s Needle,W. D. Snodgrass,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89706d28ae5feb06b0dc6ced890935c9cb5bd01.mp3,4,2,4,3,3,3,3,1,1,3,3,1,1,3,1,3,1,2,4,2,,
Speedway,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/5ef5220372428996251a11d8c8231bb11fcde6ea.mp3,3,9,8,3,3,2,7,4,7,8,7,8,8,2,8,5,8,3,8,7,,
Speedway,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/5ef5220372428996251a11d8c8231bb11fcde6ea.mp3,2,4,2,4,3,3,1,3,1,1,4,3,4,4,7,4,2,3,3,3,,
Speedway,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/5ef5220372428996251a11d8c8231bb11fcde6ea.mp3,4,4,1,6,1,2,1,1,0,3,1,5,2,4,4,3,2,2,2,3,,
Montana Pastoral,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/5e49af1836b53d0b02eb7fd0b6277af5a5bd8bdc.mp3,4,6,4,7,3,3,5,4,5,7,4,6,5,4,4,5,6,4,5,6,,
Montana Pastoral,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/5e49af1836b53d0b02eb7fd0b6277af5a5bd8bdc.mp3,8,5,0,7,0,4,0,0,0,1,0,7,5,7,8,3,1,5,2,0,,
Montana Pastoral,J. V. Cunningham,https://media.poetryfoundation.org/uploads/media/default/0001/06/5e49af1836b53d0b02eb7fd0b6277af5a5bd8bdc.mp3,1,2,3,1,6,7,6,7,7,7,6,5,1,1,2,1,6,1,6,7,,
Meeting at Night,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/08/ab45f6793bc145a0bd95e7e7fe66be728ffb2d1d.mp3,4,6,4,5,7,7,7,5,6,2,7,4,6,7,5,7,4,3,4,6,,
Meeting at Night,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/08/ab45f6793bc145a0bd95e7e7fe66be728ffb2d1d.mp3,4,0,0,0,0,2,0,0,0,0,0,5,1,0,1,0,0,0,0,0,,
Meeting at Night,Robert Browning,https://media.poetryfoundation.org/uploads/media/default/0001/08/ab45f6793bc145a0bd95e7e7fe66be728ffb2d1d.mp3,8,8,1,7,1,3,2,1,2,1,1,6,6,6,8,6,1,5,1,1,,
Autoplastik,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/6a77bef51ddcff517298dbf297a1084b4548784b.mp3,2,5,1,6,3,6,3,1,3,2,1,1,3,2,6,2,2,5,2,1,,
Autoplastik,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/6a77bef51ddcff517298dbf297a1084b4548784b.mp3,1,3,4,3,3,2,5,4,5,7,4,2,3,3,1,4,6,1,5,6,,
Autoplastik,Andrew Joron,https://media.poetryfoundation.org/uploads/media/default/0001/07/6a77bef51ddcff517298dbf297a1084b4548784b.mp3,5,7,4,4,4,5,2,4,3,6,2,8,2,4,6,1,3,3,5,4,,
Odysseus Hears of the Death of Kalypso,Donald Revell,https://media.poetryfoundation.org/uploads/media/default/0001/06/bc1305372c505039d7e8ea2e27c724e45d779a58.mp3,1,7,2,2,4,1,10,4,9,9,2,9,1,1,2,3,9,1,9,9,,
Odysseus Hears of the Death of Kalypso,Donald Revell,https://media.poetryfoundation.org/uploads/media/default/0001/06/bc1305372c505039d7e8ea2e27c724e45d779a58.mp3,5,2,1,8,0,1,5,0,0,1,0,6,2,4,1,2,3,2,8,0,,
Odysseus Hears of the Death of Kalypso,Donald Revell,https://media.poetryfoundation.org/uploads/media/default/0001/06/bc1305372c505039d7e8ea2e27c724e45d779a58.mp3,8,7,7,6,5,9,10,6,7,5,7,5,9,10,9,10,5,6,6,7,,
Song: to Celia [“Drink to me only with thine eyes”],Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc0a8b0644a365426ce0cdd20720fc198d762dbd.mp3,9,8,0,9,0,9,0,0,0,0,0,9,9,9,9,8,0,10,0,0,,
Song: to Celia [“Drink to me only with thine eyes”],Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc0a8b0644a365426ce0cdd20720fc198d762dbd.mp3,9,9,0,9,0,9,0,0,0,0,0,9,10,9,10,9,0,10,0,0,,
Song: to Celia [“Drink to me only with thine eyes”],Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/dc0a8b0644a365426ce0cdd20720fc198d762dbd.mp3,2,6,2,6,8,8,8,6,4,2,6,6,4,6,6,8,6,4,2,6,,
Morning,Billy Collins,https://media.poetryfoundation.org/uploads/media/default/0001/06/cedd0554a0e1d72ab6ae6b53ca25a87aade40132.mp3,1,3,2,3,6,4,8,4,5,1,6,3,2,3,3,4,5,2,1,6,,
Morning,Billy Collins,https://media.poetryfoundation.org/uploads/media/default/0001/06/cedd0554a0e1d72ab6ae6b53ca25a87aade40132.mp3,5,1,3,8,1,1,2,2,1,3,1,8,2,7,3,2,2,7,1,1,,
Morning,Billy Collins,https://media.poetryfoundation.org/uploads/media/default/0001/06/cedd0554a0e1d72ab6ae6b53ca25a87aade40132.mp3,9,9,0,1,0,8,0,0,0,0,0,9,8,9,8,9,0,9,0,0,,
The Wild Swans at Coole,William Butler Yeats,https://media.poetryfoundation.org/uploads/media/default/0001/07/0cf5f12c93fa16179533c442149ecf2d7f759e22.mp3,8,7,1,7,6,8,6,1,3,2,2,6,6,5,7,8,6,7,6,3,,
The Wild Swans at Coole,William Butler Yeats,https://media.poetryfoundation.org/uploads/media/default/0001/07/0cf5f12c93fa16179533c442149ecf2d7f759e22.mp3,7,2,7,4,6,6,4,7,6,5,5,4,6,5,7,4,4,7,3,2,,
The Wild Swans at Coole,William Butler Yeats,https://media.poetryfoundation.org/uploads/media/default/0001/07/0cf5f12c93fa16179533c442149ecf2d7f759e22.mp3,8,9,2,8,2,8,4,1,3,5,2,8,8,8,8,8,8,6,3,7,,
LITTLE BLESSING FOR MY FLOATER,Jeanne Murray Walker,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a2248f76c7eb853c97263e34d66b4ac5b2763fc.mp3,3,3,1,4,4,3,4,3,2,1,3,2,1,7,3,1,3,5,1,3,,
LITTLE BLESSING FOR MY FLOATER,Jeanne Murray Walker,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a2248f76c7eb853c97263e34d66b4ac5b2763fc.mp3,3,6,7,2,8,6,8,8,7,6,8,4,2,2,2,3,5,2,4,8,,
LITTLE BLESSING FOR MY FLOATER,Jeanne Murray Walker,https://media.poetryfoundation.org/uploads/media/default/0001/07/8a2248f76c7eb853c97263e34d66b4ac5b2763fc.mp3,9,6,0,2,0,5,0,0,0,0,0,8,6,8,7,1,0,2,0,0,,
The Seekonk Woods,Galway Kinnell,https://media.poetryfoundation.org/uploads/media/default/0001/06/12249d9c98cd05c25e1af4ddd9d0bcc31a0b0df0.mp3,5,4,5,4,4,4,7,5,6,7,6,3,6,6,5,7,3,4,5,4,,
The Seekonk Woods,Galway Kinnell,https://media.poetryfoundation.org/uploads/media/default/0001/06/12249d9c98cd05c25e1af4ddd9d0bcc31a0b0df0.mp3,1,1,7,4,8,7,2,5,5,4,7,4,1,0,0,1,1,1,1,2,,
The Seekonk Woods,Galway Kinnell,https://media.poetryfoundation.org/uploads/media/default/0001/06/12249d9c98cd05c25e1af4ddd9d0bcc31a0b0df0.mp3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,2,0,,
A Blind Woman,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/3046f1bf79effc2b15fb20aeb3857e5bcc46dfd8.mp3,7,8,4,2,1,1,3,1,1,1,1,10,7,10,8,9,2,5,1,1,,
A Blind Woman,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/3046f1bf79effc2b15fb20aeb3857e5bcc46dfd8.mp3,1,4,1,5,4,6,2,6,2,5,1,6,1,1,1,1,6,1,7,8,,
A Blind Woman,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/3046f1bf79effc2b15fb20aeb3857e5bcc46dfd8.mp3,6,5,6,7,6,6,4,4,2,4,7,3,2,7,4,4,3,5,7,5,,
The China Painters,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/cc36447c86d012157353a817fdbe08b041671339.mp3,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,0,2,0,0,,
The China Painters,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/cc36447c86d012157353a817fdbe08b041671339.mp3,3,3,3,2,3,3,3,2,4,1,4,1,4,4,2,3,1,1,3,3,,
The China Painters,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/cc36447c86d012157353a817fdbe08b041671339.mp3,5,10,1,6,0,9,1,0,0,1,0,9,9,5,9,9,1,5,2,1,,
The Selvage,Linda Gregerson,https://media.poetryfoundation.org/uploads/media/default/0001/07/8c6aa47a640c9933f978478d8def2ee04d7d004e.mp3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,
The Selvage,Linda Gregerson,https://media.poetryfoundation.org/uploads/media/default/0001/07/8c6aa47a640c9933f978478d8def2ee04d7d004e.mp3,6,5,6,7,6,6,4,4,2,4,7,3,2,7,4,4,3,5,7,5,,
The Selvage,Linda Gregerson,https://media.poetryfoundation.org/uploads/media/default/0001/07/8c6aa47a640c9933f978478d8def2ee04d7d004e.mp3,4,7,3,5,6,5,2,3,1,4,4,4,2,5,3,2,4,5,5,5,,
Bright Copper Kettles,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/9a2f42ffa16c9e3e1a3e4748a902f42a3fbffb38.mp3,9,4,0,5,1,1,0,1,1,1,0,9,8,8,6,6,0,7,2,0,,
Bright Copper Kettles,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/9a2f42ffa16c9e3e1a3e4748a902f42a3fbffb38.mp3,2,3,2,4,3,3,1,3,1,1,4,2,1,4,3,1,2,3,3,3,,
Bright Copper Kettles,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/9a2f42ffa16c9e3e1a3e4748a902f42a3fbffb38.mp3,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,1,0,1,0,,
The Definition of Love,Andrew Marvell,https://media.poetryfoundation.org/uploads/media/default/0001/07/6b89f18793b20b46ea75db632ef8999169841969.mp3,10,0,3,8,5,10,2,4,0,2,4,0,9,9,10,10,2,6,1,2,,
The Definition of Love,Andrew Marvell,https://media.poetryfoundation.org/uploads/media/default/0001/07/6b89f18793b20b46ea75db632ef8999169841969.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
The Definition of Love,Andrew Marvell,https://media.poetryfoundation.org/uploads/media/default/0001/07/6b89f18793b20b46ea75db632ef8999169841969.mp3,8,9,0,5,0,8,0,0,0,0,0,8,9,9,8,9,0,9,1,0,,
Carrion Comfort,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/546d56a41200896e715d800d64b253a46ef86401.mp3,8,8,2,8,2,7,2,2,2,2,2,7,3,2,3,3,2,6,4,3,,
Carrion Comfort,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/546d56a41200896e715d800d64b253a46ef86401.mp3,6,5,3,7,4,5,1,3,3,2,2,8,8,3,10,5,3,7,1,1,,
Carrion Comfort,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/546d56a41200896e715d800d64b253a46ef86401.mp3,4,6,7,5,5,7,6,7,6,6,5,5,0,0,0,0,4,5,7,7,,
Boil,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe6de2b136f559ce3fe60be13b85009f03367650.mp3,0,8,8,0,7,5,6,8,8,8,8,6,0,0,3,0,7,0,7,8,,
Boil,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe6de2b136f559ce3fe60be13b85009f03367650.mp3,9,9,2,4,1,1,4,1,1,2,2,10,7,9,9,6,2,9,1,2,,
Boil,Alicia Ostriker,https://media.poetryfoundation.org/uploads/media/default/0001/06/fe6de2b136f559ce3fe60be13b85009f03367650.mp3,1,3,1,3,4,4,4,3,2,1,3,3,2,3,3,4,3,2,1,3,,
Childhood Stories,Matthew Rohrer,https://media.poetryfoundation.org/uploads/media/default/0001/07/1e405376d2ec16ff8f29a5fed0838b97ed9deae5.mp3,9,6,1,9,3,1,2,2,2,2,2,10,9,9,8,7,1,8,2,2,,
Childhood Stories,Matthew Rohrer,https://media.poetryfoundation.org/uploads/media/default/0001/07/1e405376d2ec16ff8f29a5fed0838b97ed9deae5.mp3,4,4,4,6,6,6,5,4,6,6,5,5,6,5,4,5,5,5,4,4,,
Childhood Stories,Matthew Rohrer,https://media.poetryfoundation.org/uploads/media/default/0001/07/1e405376d2ec16ff8f29a5fed0838b97ed9deae5.mp3,5,8,1,7,6,8,1,3,2,2,3,6,8,6,6,6,2,2,1,1,,
God's Grandeur,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/c25243783b39e659abeaba0bc6f3442f01cffdc3.mp3,7,7,0,3,0,6,0,0,0,0,0,7,7,7,9,8,0,6,0,0,,
God's Grandeur,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/c25243783b39e659abeaba0bc6f3442f01cffdc3.mp3,1,3,2,3,4,2,8,2,6,4,6,2,3,3,1,4,4,1,3,6,,
God's Grandeur,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/c25243783b39e659abeaba0bc6f3442f01cffdc3.mp3,4,7,1,4,3,1,6,6,4,6,2,5,6,2,7,5,4,6,5,6,,
Aperture,Jennifer Tonge,https://media.poetryfoundation.org/uploads/media/default/0001/06/24b93ae3b500e95d1ad9f2c71a20b38503668916.mp3,8,8,1,8,1,8,2,1,1,2,2,8,9,8,9,8,2,7,2,1,,
Aperture,Jennifer Tonge,https://media.poetryfoundation.org/uploads/media/default/0001/06/24b93ae3b500e95d1ad9f2c71a20b38503668916.mp3,7,8,7,2,8,6,6,7,2,7,8,6,4,4,5,0,8,3,5,7,,
Aperture,Jennifer Tonge,https://media.poetryfoundation.org/uploads/media/default/0001/06/24b93ae3b500e95d1ad9f2c71a20b38503668916.mp3,9,10,9,10,10,10,8,10,10,9,7,10,10,7,10,8,10,10,5,10,,
the mother,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/5cafaabc8a7b39127737fe33e7645bccec21eeb7.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
the mother,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/5cafaabc8a7b39127737fe33e7645bccec21eeb7.mp3,0,2,8,0,8,7,7,7,9,5,8,1,1,1,2,1,6,0,0,7,,
the mother,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/5cafaabc8a7b39127737fe33e7645bccec21eeb7.mp3,0,1,7,0,7,8,7,8,8,4,8,0,0,0,0,1,6,0,7,6,,
John Sutter,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/ea89598becfbd9cde7f041a20068e064589479cf.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
John Sutter,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/ea89598becfbd9cde7f041a20068e064589479cf.mp3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
John Sutter,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/ea89598becfbd9cde7f041a20068e064589479cf.mp3,5,8,4,5,4,4,5,3,4,4,4,8,5,4,4,4,2,3,5,4,,
Wasps,Ho Xuan Huong Marilyn Chin Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/07/3abcbabc331f328dc6387e685b9403ce8cb01d8e.mp3,8,9,5,4,4,7,8,7,10,7,3,8,10,7,9,8,8,5,7,9,,
